Open,High,Low,Close,Adj Close,Volume
34.02000045776367,35.720001220703125,34.0,34.61000061035156,34.61000061035156,3897600
34.5,34.869998931884766,33.70000076293945,33.86000061035156,33.86000061035156,2611000
34.0,34.869998931884766,33.720001220703125,33.88999938964844,33.88999938964844,2710700
33.5099983215332,33.81999969482422,31.93000030517578,32.04999923706055,32.04999923706055,2961700
32.15999984741211,32.290000915527344,31.309999465942383,31.799999237060547,31.799999237060547,3876800
32.0,32.25,30.739999771118164,30.989999771118164,30.989999771118164,3743600
31.3799991607666,31.549999237060547,29.850000381469727,30.34000015258789,30.34000015258789,4599300
30.530000686645508,30.75,29.920000076293945,30.34000015258789,30.34000015258789,2833500
30.5,30.65999984741211,29.209999084472656,29.56999969482422,29.56999969482422,2566200
29.15999984741211,29.969999313354492,28.399999618530273,28.579999923706055,28.579999923706055,2690400
29.43000030517578,29.84000015258789,28.719999313354492,28.75,28.75,2399500
29.5,31.139999389648438,29.31999969482422,30.209999084472656,30.209999084472656,3435400
30.270000457763672,31.469999313354492,30.100000381469727,31.309999465942383,31.309999465942383,5362200
31.600000381469727,31.989999771118164,31.139999389648438,31.65999984741211,31.65999984741211,6647800
26.190000534057617,26.639999389648438,20.670000076293945,20.700000762939453,20.700000762939453,40480000
21.1200008392334,21.190000534057617,19.06999969482422,19.229999542236328,19.229999542236328,21385300
19.290000915527344,20.290000915527344,19.1200008392334,19.1299991607666,19.1299991607666,13567900
19.030000686645508,19.049999237060547,16.5,17.010000228881836,17.010000228881836,18719100
17.06999969482422,17.770000457763672,16.719999313354492,17.530000686645508,17.530000686645508,13608200
17.229999542236328,17.649999618530273,16.90999984741211,17.06999969482422,17.06999969482422,13128700
16.600000381469727,17.18000030517578,16.190000534057617,16.34000015258789,16.34000015258789,7821900
